iter	Logloss
254	0.33257302
255	0.3325486882
256	0.3325183873
257	0.3324880996
258	0.3324752017
259	0.3324560924
260	0.3324342578
261	0.3323820683
262	0.3323558209
263	0.3323306181
264	0.3323162887
265	0.3322858145
266	0.3322549509
267	0.3322374028
268	0.3322146657
269	0.3321739361
270	0.3321412632
271	0.3321065887
272	0.3320855048
273	0.3320440388
274	0.3320287327
275	0.3320016269
276	0.3319766334
277	0.3319558077
278	0.3319363378
279	0.331921567
280	0.331888834
281	0.3318551981
282	0.3317930242
283	0.3317826869
284	0.3317698199
285	0.3317481274
286	0.331720216
287	0.3316982985
288	0.3316657748
289	0.3316286216
290	0.3315947709
291	0.3315763938
292	0.3315510546
293	0.3315325978
294	0.3315170594
295	0.331480695
296	0.3314640105
297	0.3314387336
298	0.3314194735
299	0.3313665616
300	0.331353292
301	0.3313436472
302	0.3313028559
303	0.3312590584
304	0.3312492805
305	0.3312351989
306	0.3311980797
307	0.3311840016
308	0.331146675
309	0.3311107611
310	0.3310918961
311	0.3310726147
312	0.3310632372
313	0.3309984693
314	0.3309859209
315	0.3309777071
316	0.3309285534
317	0.3309082307
318	0.330888366
319	0.3308721421
320	0.3308559676
321	0.3308289936
322	0.3308163791
323	0.3307762367
324	0.3307420288
325	0.3307123883
326	0.3306878675
327	0.3306533267
328	0.3306377649
329	0.3306105562
330	0.3305796873
331	0.3305472716
332	0.3305163025
333	0.3305009952
334	0.3304652373
335	0.3304460635
336	0.3304187584
337	0.3304036502
338	0.3303781139
339	0.3303659353
340	0.3303501044
341	0.3303412153
342	0.330322198
343	0.3303084328
344	0.3302772405
345	0.330256612
346	0.3302318709
347	0.3301956046
348	0.3301856441
349	0.3301593307
350	0.3301404827
351	0.3301151687
352	0.3300890025
353	0.3300695238
354	0.3300572463
355	0.3300295101
356	0.330006735
357	0.3299873924
358	0.3299652104
359	0.3299348384
360	0.3299113986
361	0.3298986798
362	0.3298722905
363	0.3298552695
364	0.329842107
365	0.3298114717
366	0.3297789154
367	0.3297570108
368	0.3297343899
369	0.3297071329
370	0.3296939743
371	0.3296658489
372	0.3296470112
373	0.3296394981
374	0.3296298336
375	0.3296211181
376	0.3296082238
377	0.3295859049
378	0.3295791835
379	0.3295611172
380	0.3295484562
381	0.3295169706
382	0.3295051307
383	0.3294811106
384	0.329472511
385	0.3294658393
386	0.3294413875
387	0.3294186865
388	0.3294112233
389	0.3293642686
390	0.3293423295
391	0.3293167656
392	0.329300795
393	0.3292860679
394	0.3292590816
395	0.329245386
396	0.3292155351
397	0.3292026199
398	0.3291923123
399	0.3291616371
400	0.3291474497
401	0.3291141014
402	0.3291015247
403	0.3290823481
404	0.3290703499
405	0.3290486336
406	0.3290342529
407	0.3290319623
408	0.329021713
409	0.3289859406
410	0.3289712771
411	0.3289396383
412	0.3289301041
413	0.3289175362
414	0.3288819829
415	0.3288672624
416	0.3288427242
417	0.3288268971
418	0.3287982739
419	0.3287796764
420	0.3287670238
421	0.3287508298
422	0.3286920108
423	0.3286660158
424	0.3286526025
425	0.3286423131
426	0.3286152902
427	0.3286052332
428	0.328595413
429	0.3285849542
430	0.3285757395
431	0.3285537427
432	0.3285405032
433	0.3285120836
434	0.3285066545
435	0.3284885998
436	0.328478618
437	0.3284728769
438	0.3284563185
439	0.3284218368
440	0.3283878604
441	0.3283769818
442	0.3283627559
443	0.3283355957
444	0.3283146324
445	0.328307359
446	0.3282965529
447	0.3282840539
448	0.3282757416
449	0.3282520119
450	0.328236615
451	0.3282264159
452	0.3281981658
453	0.3281868025
454	0.3281830905
455	0.3281764733
456	0.3281653812
457	0.3281489528
458	0.3281312579
459	0.3281105397
460	0.3280855392
461	0.3280649276
462	0.3280536366
463	0.3280295878
464	0.3280089309
465	0.3279984196
466	0.3279797062
467	0.3279524396
468	0.3279176191
469	0.3279082841
470	0.3278951349
471	0.3278507103
472	0.3278337314
473	0.3278050121
474	0.3277941391
475	0.3277653264
476	0.3277504531
477	0.3277206385
478	0.3276961705
479	0.3276887437
480	0.3276734548
481	0.327654903
482	0.3276437379
483	0.3276349223
484	0.3276181311
485	0.3276092697
486	0.3275863734
487	0.3275644863
488	0.3275540109
489	0.3275019127
490	0.3274863937
491	0.3274671728
492	0.3274496676
493	0.3274379205
494	0.3274238993
495	0.3274141815
496	0.3273992484
497	0.3273935604
498	0.3273823017
499	0.3273732801
